"orden_recomendado","ticker","score","precio_actual","tendencia_corta","tendencia_media","tendencia_larga","rsi","acciones_recomendadas","inversion_total","potencial_ganancia","razones","riesgo","tiempo_recomendado_hold"
"135","GOLD","60","18.67","BAJISTA","BAJISTA","ALCISTA","49.5","535","9988.45","998.85","Fuerza de tendencia: 1/3 timeframes alcistas
RSI en zona neutral (49.5)
MACD por debajo de la señal, momentum bajista
Precio dentro de las bandas de Bollinger
Volumen débil (0.7x promedio)
Stochastic en zona neutral
Momentum negativo
Tendencia alcista en largo plazo","MEDIO","LARGO"
"136","PEP","55","130.15","BAJISTA","BAJISTA","BAJISTA","37.49","76","9891.4","989.14","Fuerza de tendencia: 0/3 timeframes alcistas
RSI en zona neutral (37.5)
MACD por encima de la señal, momentum alcista
Precio dentro de las bandas de Bollinger
Volumen débil (1.1x promedio)
Stochastic en zona neutral
Momentum negativo","ALTO","CORTO"
"137","JNJ","55","153.18","BAJISTA","BAJISTA","BAJISTA","48.41","65","9956.7","995.67","Fuerza de tendencia: 0/3 timeframes alcistas
RSI en zona neutral (48.4)
MACD por encima de la señal, momentum alcista
Precio dentro de las bandas de Bollinger
Volumen débil (0.9x promedio)
Stochastic en zona neutral
Momentum negativo","ALTO","CORTO"
"138","MRK","55","76.98","BAJISTA","BAJISTA","BAJISTA","43.79","129","9930.42","993.04","Fuerza de tendencia: 0/3 timeframes alcistas
RSI en zona neutral (43.8)
MACD por encima de la señal, momentum alcista
Precio dentro de las bandas de Bollinger
Volumen débil (0.7x promedio)
Stochastic en zona neutral
Momentum negativo","ALTO","CORTO"
"139","XOM","55","103.66","BAJISTA","BAJISTA","BAJISTA","42.05","96","9951.36","995.14","Fuerza de tendencia: 0/3 timeframes alcistas
RSI en zona neutral (42.1)
MACD por debajo de la señal, momentum bajista
Precio dentro de las bandas de Bollinger
Volumen débil (0.8x promedio)
Stochastic en zona neutral
Momentum positivo","ALTO","CORTO"
"140","AMGN","55","271.34","BAJISTA","BAJISTA","BAJISTA","45.48","36","9768.24","976.82","Fuerza de tendencia: 0/3 timeframes alcistas
RSI en zona neutral (45.5)
MACD por encima de la señal, momentum alcista
Precio dentro de las bandas de Bollinger
Volumen débil (0.9x promedio)
Stochastic en zona neutral
Momentum negativo","ALTO","CORTO"
"141","BMY","55","47.0","BAJISTA","BAJISTA","BAJISTA","42.77","212","9964.0","996.4","Fuerza de tendencia: 0/3 timeframes alcistas
RSI en zona neutral (42.8)
MACD por encima de la señal, momentum alcista
Precio dentro de las bandas de Bollinger
Volumen débil (0.7x promedio)
Stochastic en zona neutral
Momentum negativo","ALTO","CORTO"
"142","LMT","55","470.28","BAJISTA","ALCISTA","BAJISTA","52.06","21","9875.88","987.59","Fuerza de tendencia: 1/3 timeframes alcistas
RSI en zona neutral (52.1)
MACD por debajo de la señal, momentum bajista
Precio dentro de las bandas de Bollinger
Volumen débil (0.7x promedio)
Stochastic en zona neutral
Momentum negativo","ALTO","MEDIO"
"143","DHR","55","186.81","BAJISTA","BAJISTA","BAJISTA","43.06","53","9900.93","990.09","Fuerza de tendencia: 0/3 timeframes alcistas
RSI en zona neutral (43.1)
MACD por debajo de la señal, momentum bajista
Precio por debajo de la banda inferior de Bollinger, posible rebote
Volumen moderado (1.4x promedio)
Stochastic en zona neutral
Momentum negativo","ALTO","CORTO"
"144","JD","55","33.65","BAJISTA","BAJISTA","BAJISTA","43.93","297","9994.05","999.41","Fuerza de tendencia: 0/3 timeframes alcistas
RSI en zona neutral (43.9)
MACD por encima de la señal, momentum alcista
Precio dentro de las bandas de Bollinger
Volumen débil (0.6x promedio)
Stochastic en zona neutral
Momentum negativo","ALTO","CORTO"
"145","TS","55","32.88","BAJISTA","BAJISTA","BAJISTA","40.24","304","9995.52","999.55","Fuerza de tendencia: 0/3 timeframes alcistas
RSI en zona neutral (40.2)
MACD por encima de la señal, momentum alcista
Precio dentro de las bandas de Bollinger
Volumen débil (0.6x promedio)
Stochastic en zona neutral
Momentum negativo","ALTO","CORTO"
"146","UNH","55","302.98","BAJISTA","BAJISTA","BAJISTA","28.14","33","9998.34","999.83","Fuerza de tendencia: 0/3 timeframes alcistas
RSI en sobreventa (28.1), posible rebote
MACD por debajo de la señal, momentum bajista
Precio dentro de las bandas de Bollinger
Volumen moderado (1.5x promedio)
Stochastic en zona neutral
Momentum negativo","ALTO","CORTO"
"147","NIO","55","3.94","BAJISTA","BAJISTA","BAJISTA","48.16","2538","9999.72","999.97","Fuerza de tendencia: 0/3 timeframes alcistas
RSI en zona neutral (48.2)
MACD por debajo de la señal, momentum bajista
Precio dentro de las bandas de Bollinger
Volumen débil (1.0x promedio)
Stochastic en zona neutral
Momentum positivo","ALTO","CORTO"
"148","LLY","45","724.95","BAJISTA","BAJISTA","BAJISTA","40.39","13","9424.35","942.44","Fuerza de tendencia: 0/3 timeframes alcistas
RSI en zona neutral (40.4)
MACD por debajo de la señal, momentum bajista
Precio dentro de las bandas de Bollinger
Volumen débil (0.8x promedio)
Stochastic en zona neutral
Momentum negativo","ALTO","CORTO"
"149","ABBV","45","181.8","BAJISTA","BAJISTA","BAJISTA","44.78","55","9999.0","999.9","Fuerza de tendencia: 0/3 timeframes alcistas
RSI en zona neutral (44.8)
MACD por debajo de la señal, momentum bajista
Precio dentro de las bandas de Bollinger
Volumen débil (0.4x promedio)
Stochastic en zona neutral
Momentum negativo","ALTO","CORTO"
"150","GLOB","45","102.75","BAJISTA","BAJISTA","BAJISTA","37.0","97","9966.75","996.68","Fuerza de tendencia: 0/3 timeframes alcistas
RSI en zona neutral (37.0)
MACD por debajo de la señal, momentum bajista
Precio dentro de las bandas de Bollinger
Volumen débil (0.7x promedio)
Stochastic en zona neutral
Momentum negativo","ALTO","CORTO"
"151","ARCO","45","7.44","BAJISTA","BAJISTA","BAJISTA","43.92","1344","9999.36","999.94","Fuerza de tendencia: 0/3 timeframes alcistas
RSI en zona neutral (43.9)
MACD por debajo de la señal, momentum bajista
Precio dentro de las bandas de Bollinger
Volumen débil (1.0x promedio)
Stochastic en zona neutral
Momentum negativo","ALTO","CORTO"
"152","SID","45","1.61","BAJISTA","BAJISTA","BAJISTA","47.83","6211","9999.71","999.97","Fuerza de tendencia: 0/3 timeframes alcistas
RSI en zona neutral (47.8)
MACD por debajo de la señal, momentum bajista
Precio dentro de las bandas de Bollinger
Volumen débil (0.7x promedio)
Stochastic en zona neutral
Momentum negativo","ALTO","CORTO"
